"","HW1","HW2","HW3","HW4","HW5","HW6","HW7","HW8","HW9","ATT","QZ1","QZ2","QZ3","QZ4","EX1","EX2","Test1","Test2","Homework","Quiz","Overall","g"
"193",70,97.5,100,70,100,100,97,95,85,100,11,9,16,14,61.2,64.8,76.5,72,96.3571428571429,13.6666666666667,74.2571428571429,"C"
"194",82.5,100,100,100,97,100,100,90,75,100,11,13,13,16,62.4,57.15,78,63.5,96.1875,14,72.43125,"C"
"195",91.5,97.5,98,90,92,95,62,95,90,100,8,8,18,18,64,65.25,80,72.5,93.625,18,74.9125,"C"
"196",100,72.5,100,100,100,99,97,100,100,100,8,18,17,10,66.4,67.5,83,75,99.5,15,77.45,"C"
"197",95,100,100,100,100,89,98,85,100,100,11,12,12,16,52.8,63.9,66,71,97.75,13.3333333333333,72.275,"C"
"198",62.5,0,0,0,65,76,71,90,97.5,60,0,8,11,20,68,34.2,85,38,77,13,57.55,"D"
"199",52.5,55,85,67.5,90,78,92,80,80,100,6,13,0,17,52,54.45,65,60.5,78.4375,12,63.45625,"C-"
"200",92.5,97.5,0,85,90,76,81,90,80,100,11,9,12,15,69.6,78.3,87,87,86.5,12.6666666666667,77,"C"
"201",100,100,92.5,90,100,99,90,95,100,100,12,18,17,18,70.4,80.1,88,89,98.0714285714286,17.6666666666667,81.9214285714286,"B-"
"202",82,100,87.5,90,100,96,100,80,95,100,9,13,11,15,55.2,57.6,69,64,93.8125,13,69.89375,"C-"
"203",72.5,95,100,80,100,76,100,90,70,100,11,18,20,20,68.8,81,86,90,89.1875,19.3333333333333,79.35625,"C+"
"204",82.5,85,95,90,100,95,87,85,85,100,11,16,14,20,59.2,71.1,74,79,90.25,16.6666666666667,74.125,"C"
"205",89.5,100,100,70,100,0,97,100,98,80,9,13,14,15,56,56.7,70,63,94.3125,14,68.14375,"C-"
"206",95,75,100,100,100,99,85,85,100,100,6,10,10,19,60.8,51.3,76,57,95.5,13,70.05,"C"
"207",92.5,100,100,100,100,100,100,100,100,100,8,11,16,18,66.4,66.6,83,74,100,15,77.35,"C"
"208",92.5,0,92.5,95,100,95,0,0,80,60,10,0,7,12,55.2,41.4,69,46,92.5,9.66666666666667,60.5,"C-"
"209",67,0,47.5,90,100,59,59,80,98,100,11,16,17,18,63.2,70.65,79,78.5,75.0625,17,70.49375,"C"
"210",90,90,90,90,0,0,0,0,0,0,6,0,7,0,66.24,12.6,82.8,14,90,6.5,48.035,"F"
