"","HW1","HW2","HW3","HW4","HW5","HW6","HW7","HW8","HW9","ATT","QZ1","QZ2","QZ3","QZ4","EX1","EX2","Test1","Test2","Homework","Quiz","Overall","g"
"14",80,92.5,87.5,100,100,69,51.5,80,75,100,12,15,13.5,20,70.4,68.4,88,76,85.5,16.1666666666667,74.675,"C"
"15",87.5,100,100,100,85,90,100,100,80,100,8,13,12,15,68,70.2,85,78,95.3125,13.3333333333333,77.09375,"C"
"16",50,0,67.5,50,0,78,41.5,82.5,80,100,4,10,14,17,40,36.9,50,41,64.2142857142857,13.6666666666667,51.5642857142857,"D"
"17",47.5,70,77.5,30,85,55,78,92.5,80,100,8,3,0,6,47.2,20.7,59,23,73.1875,5.66666666666667,50.35625,"D"
"18",77.5,85,100,100,95,93,82,90,95,100,9,10,14,13,59.2,69.3,74,77,92.5,12.3333333333333,73.65,"C"
"19",65,92.5,92.5,0,95,80,74,80,80,100,10,9,13,14,64,67.95,80,75.5,82.375,12.3333333333333,71.4375,"C"
"20",52.5,75,85,90,86.25,99,70,100,0,40,8,14,5,10,61.6,62.1,77,69,82.21875,10.6666666666667,62.915625,"C-"
"21",77.5,97.5,100,100,100,100,100,100,100,100,11,18,14,20,69.6,70.2,87,78,99.6875,17.3333333333333,79.40625,"C+"
"22",95,77.5,95,100,100,87,100,90,100,100,12,17,14,19,64,77.4,80,86,95.875,16.6666666666667,78.7625,"C+"
"23",70,67.5,75,70,95,77,79,0,63.5,100,11,11,0,16,54.4,45,68,50,74.625,12.6666666666667,60.3875,"C-"
"24",77.5,70,87.5,90,80,81,87,90,85,100,8,0,0,14,35.2,31.5,44,35,84.75,11,54.625,"D"
"25",72.5,72.5,85,80,90,93,100,100,100,100,11,16,14,19,64.8,81,81,90,92.5714285714286,16.3333333333333,78.9214285714286,"C+"
"26",80,80,85,60,92.5,71,48,64,95,100,4,4,8,5,39.2,42.75,49,47.5,78.4375,6.5,56.18125,"D"
"27",97,100,100,100,100,98,100,0,96,100,9,7,0,20,67.2,77.4,84,86,98.875,12,79.7625,"B-"
"28",92.5,100,100,80,100,0,83,95,90,100,8,3,15,14,50.4,61.2,63,68,92.5625,12.3333333333333,69.21875,"C-"
"29",87.5,55,87.5,52.5,70,98,90,90,80,100,10,12,6,16,57.6,62.1,72,69,82.25,12.6666666666667,68.225,"C-"
"30",92.5,92.5,85,90,95,87,73,100,80,100,10,13,17,18,72,67.5,90,75,90.25,16,76.225,"C"
"31",52.5,97.5,100,90,95,95,100,85,70,100,11,10,13,15,64.8,70.65,81,78.5,91.5625,13,75.24375,"C"
"32",86.5,94,95,100,95,90,77,60,98,80,8,11,13,17,63.2,64.35,79,71.5,91.9375,13.6666666666667,71.30625,"C"
"33",88.5,85,100,100,100,99,100,100,94,100,12,16,18,20,79.2,67.05,99,74.5,97.6875,18,80.43125,"B-"
"34",95,98,100,80,100,90,52,70,100,100,10,8,15,16,62.4,48.15,78,53.5,91.625,13.6666666666667,68.5125,"C-"
"35",85,77.5,92.5,55,65,64,26,62.5,85,100,4,9,6,12,29.6,24.75,37,27.5,73.3125,9,47.61875,"F"
"36",87.5,100,100,70,95,100,78,90,80,100,8,8,8,18,62.4,35.1,78,39,91.3125,18,65.44375,"C-"
"37",76,72.5,50,0,61.25,71,51,50,80,100,7,10,10,4,44.8,63.45,56,70.5,63.96875,9,59.365625,"D"
"38",81,97.5,100,75,95,87,82,90,95,100,12,18,15,11,67.2,75.6,84,84,90.9375,15,77.33125,"C"
"39",92.5,100,92.5,90,100,95,85,90,80,100,10.5,12,13,20,66.4,63,83,70,93.125,15,74.2875,"C"
"40",87.5,100,92.5,90,95,91,90,95,100,100,10,12,16.5,17,72,81,90,90,94.1875,15.1666666666667,81.03125,"B-"
"41",93.5,95,97.5,100,100,76,95,90,80,100,12,14,15,13,76.8,75.15,96,83.5,93.875,14,80.3375,"B-"
"42",75,82.5,100,100,90,88,84,87.5,100,100,11,16,14,18,76.8,76.5,96,85,91.5,16,80.3,"B-"
"43",87.5,62.5,80,70,100,96,92,100,70,100,7,12,12,15,58.4,54.9,73,61,86.9375,13,67.88125,"C-"
"44",90,90,72.5,90,100,97,100,95,100,100,10,11,13,13,55.2,41.4,69,46,95.25,12.3333333333333,65.725,"C-"
"45",70,90,90,80,69.5,54,82,0,100,60,6,7,8,8,37.6,43.2,47,48,79.4375,7.66666666666667,52.38125,"D"
"46",95,85,90,50,56,86,92,75,55,100,10.5,14,9,15,42.4,27,53,30,79.25,13.1666666666667,53.85,"D"
"47",82.5,100,97.5,90,91.25,99,97,100,100,100,11,16,18,20,67.2,73.8,84,82,96.84375,18,79.053125,"C+"
"48",95,100,100,90,95,99,97,80,100,100,12,17,18,19,70.4,83.25,88,92.5,97,18,82.525,"B"
"49",100,100,97.5,100,100,95,100,100,60,100,11.5,11,15,14,55.2,69.3,69,77,99.0625,13.5,74.79375,"C"
"50",67.5,100,100,90,95,90,100,90,100,100,12,14,14,20,71.2,83.7,89,93,95.625,16,82.1375,"B"
"51",92.5,85,92.5,100,100,93,91,90,75,100,11.5,15,15,14,66.4,80.1,83,89,93,14.6666666666667,78.95,"C+"
"52",80,85,92.5,0,95,66,80.5,67.5,100,100,8,16,17,16,49.6,62.55,62,69.5,83.3125,16.3333333333333,67.21875,"C-"
"53",0,77.5,100,80,100,90,80,0,65,100,10.5,17,15,17,34.4,69.3,43,77,84.6428571428571,16.3333333333333,65.6928571428572,"C-"
"54",92.5,95,85,100,100,99,89,100,100,100,11,18,15,20,67.2,70.2,84,78,96.9375,17.6666666666667,78.03125,"C+"
"55",90,95,100,100,100,99,100,80,85,100,12,18,15,20,71.2,76.5,89,85,96.125,17.6666666666667,80.5375,"B-"
"56",87.5,77.5,97.5,90,97,96,90,80,80,100,11.5,0,11,16,56,60.75,70,67.5,89.75,12.8333333333333,69.725,"C-"
"57",92.5,100,100,100,95,99,94,99,95,100,9,18,17,19,70.4,77.4,88,86,97.75,18,81.125,"B-"
"58",95,98,92.5,70,95,98,100,100,98,100,12,14,10,18,68.8,70.2,86,78,97.0625,14.6666666666667,78.01875,"C+"
"59",82,100,91.5,100,100,90,100,70,96,100,6,14,12,19,55.2,63.9,69,71,94.9375,15,72.28125,"C"
"60",82.5,100,85,75,95,86,26,45,65,100,4,10,10,17,36.8,36,46,40,79.1875,12.3333333333333,54.80625,"D"
"61",90,95,100,100,100,96,100,95,100,100,8,17,15,18,44.8,63,56,70,98.25,16.6666666666667,70.675,"C"
"62",87.5,77.5,100,80,85,99,100,100,85,100,8,10,5,12,38.4,40.95,48,45.5,92.0625,10,60.09375,"C-"
"63",74,100,85,90,90,96,86,90,98,100,11,14,15,18,60.8,76.05,76,84.5,91.875,15.6666666666667,76.2375,"C"
"64",80,60,95,80,85,91,68,80,67.5,100,5,11,11,16,36.8,45,46,50,80.8125,12.6666666666667,57.84375,"D"
"65",91.5,97,87.5,80,90,82,90,90,98,100,7,13,11,15,51.2,39.15,64,43.5,90.75,13,62.85,"C-"
"66",80,95,90,80,97.5,94,73,90,85,100,7,12,11.5,20,64.8,64.35,81,71.5,88.9375,14.5,72.93125,"C"
"67",92.5,95,100,100,95,98,70,100,100,100,11,11,12,18,66.4,73.35,83,81.5,97.5625,15,78.49375,"C+"
"68",92.5,100,100,90,100,93,89,80,60,100,10,14,11,16,65.6,63.9,82,71,93.0625,13.6666666666667,74.11875,"C"
"69",80,77.5,70,65,100,97,100,75,85,100,7,10,5,8,56.8,34.2,71,38,85.5625,8.33333333333333,60.61875,"C-"
"70",80,0,92.5,90,90,79,0,70,51.5,100,11,16,0,20,75.2,68.85,94,76.5,79,15.6666666666667,73.975,"C"
"71",0,10,47.5,0,90,0,56,40,75,20,6.5,5,6,16,43.2,31.5,54,35,53.0833333333333,9.5,38.9,"F"
"72",85,85,92.5,60,95,98,100,80,100,100,11,9,15,19,47.2,57.6,59,64,91.9375,15,67.63125,"C-"
"73",70,89,70,80,85,96,0,90,0,100,9,8,13,0,64,54.9,80,61,82.8571428571429,10,67.6071428571429,"C-"
"74",85,97.5,100,85,75,97,97,95,85,100,3,8,7,13,48.8,36.45,61,40.5,92.6875,9.33333333333333,61.53125,"C-"
"75",94.5,100,85,100,100,98,90,100,96,100,9,11,16,16,78.4,72,98,80,97.3125,14.3333333333333,80.94375,"B-"
"76",62.5,65,32.5,27.5,0,79,79,75,94,100,11,6,5,11,44,54.9,55,61,64.3125,9.33333333333333,56.94375,"D"
"77",85,70,85,95,100,88,88,100,85,100,9,18,18,20,47.2,65.7,59,73,90.75,18.6666666666667,70.075,"C"
"78",92.5,100,100,100,100,100,100,95,100,100,11,16,16,16,59.2,71.1,74,79,99.375,16,76.7625,"C"
"79",92.5,100,100,100,95,90,100,95,85,100,12,16,16,16,76,74.25,95,82.5,96.5625,16,80.99375,"B-"
"80",80,75,90,90,100,93,98,90,85,100,11,16,15,20,69.6,76.5,87,85,90.75,17,78.425,"C+"
"81",92.5,82.5,87.5,90,100,82,82,0,85,60,6,8,0,5,45.6,52.2,57,58,87.6875,6.33333333333333,59.15625,"D"
"82",76,80,100,95,90,93,89,87.5,80,100,12,12,14,17,55.2,66.6,69,74,89.3125,15.5,71.41875,"C"
"83",82.5,85,92.5,95,90,100,100,100,80,100,8,10,17,0,62.4,47.25,78,52.5,93.125,11.6666666666667,68.4125,"C-"
"84",77.5,62.5,97.5,80,0,83,100,75,70,100,8,8,14,16,67.2,69.3,84,77,80.6875,15,72.50625,"C"
"85",77.5,100,100,100,100,99,92,100,98,100,11,18,18,20,76,85.5,95,95,98.625,18.6666666666667,85.1375,"B"
"86",87.5,85,92.5,80,100,99,0,100,75,100,12,18,12,20,75.2,70.2,94,78,89.875,19,78.1125,"C+"
"87",67.5,95,82.5,95,60,79,89,100,85,100,10,15,13.5,19,76.8,81.9,96,91,86.625,15.8333333333333,80.3125,"B-"
"88",30,0,0,100,85,91,77,85,85,100,3,10,5,6,38.4,38.7,48,43,79,7,55.1,"D"
"89",92.5,100,100,0,100,100,0,100,100,100,11,18,20,20,64,78.3,80,87,98.9285714285714,19.3333333333333,80.3285714285714,"B-"
"90",82.5,0,95,100,95,99,100,100,100,60,9,13,16,19,70.4,75.6,88,84,96.4375,16,75.93125,"C"
"91",77.5,97.5,100,70,0,96,100,80,75,100,8,2,9,15,48.8,49.5,61,55,87,10.6666666666667,63.65,"C-"
"92",80,75,0,67.5,77.5,87,100,82.5,90,100,10,15,18,18,57.6,72.9,72,81,82.4375,17,71.93125,"C"
"93",0,85,80,75,100,78,0,90,0,100,11,7,15,0,58.4,37.35,73,41.5,84.6666666666667,11,62.025,"C-"
"94",87.5,85,92.5,85,95,91,92,90,90,100,11,9,0,17,64,65.7,80,73,91.1428571428571,12.3333333333333,73.4428571428572,"C"
"95",73.5,0,92.5,90,80,0,100,100,75,100,10,13,13,19,70.4,65.7,88,73,87.2857142857143,15,74.2857142857143,"C"
"96",79,95,92.5,65,72.5,91,100,0,76,100,4,14,19,19,59.2,75.6,74,84,83.875,17.3333333333333,73.5625,"C"
"97",0,0,0,42.5,0,0,0,0,0,80,7,0,0,0,42.4,35.55,53,39.5,42.5,7,42.275,"F"
"98",100,97.5,100,90,100,99,100,100,100,100,12,14,18,19,69.6,84.6,87,94,99.5625,17,83.31875,"B"
"99",92.5,95,100,0,100,93,90,85,100,100,10,18,14,16,65.6,80.55,82,89.5,94.4375,16,79.50625,"B-"
"100",96,97.5,100,0,100,89,97,100,99,100,12,12,16,19,73.6,78.3,92,87,97.3125,17.5,81.96875,"B-"
"101",45,77.5,67.5,70,90,71,89,90,85,100,4,13,9.5,14,57.6,63.9,72,71,80,12.1666666666667,67.975,"C-"
"102",0,85,85,67.5,90,88,96,75,95,100,7,12,10,0,48.8,40.95,61,45.5,85.1875,9.66666666666667,60.58125,"C-"
"103",85,92.5,100,100,95,90,100,97.5,100,100,12,14,15,12,62.4,61.2,78,68,96.875,14.5,73.8375,"C"
"104",82.5,70,100,65,97,71,78,85,85,100,9,7,11,16,70.4,55.8,88,62,83.5625,12,69.96875,"C-"
"105",92.5,92.5,100,80,95,97,97,95,80,100,10,10,15,18,57.6,54.9,72,61,95.5714285714286,16.5,70.7964285714286,"C"
"106",55,85,100,100,60,100,80,90,90,100,11,14,17,20,71.2,76.5,89,85,88.125,17,78.0375,"C+"
"107",92.5,77.5,92.5,100,100,96,89,97.5,99,100,10,13,16,20,58.4,71.55,73,79.5,95.8125,16.3333333333333,75.66875,"C"
"108",62.5,97.5,82.5,67.5,90,98,100,80,100,100,9,13,11.5,15,55.2,50.4,69,56,89.4375,13.1666666666667,66.60625,"C-"
"109",100,100,92.5,100,100,0,94,85,0,80,5,15,14,0,71.2,75.6,89,84,95.9285714285714,11.3333333333333,77.2785714285714,"C"
"110",87.5,92.5,100,90,87,96,94,95,70,100,11.5,15,14,3,64.8,42.3,81,47,92.75,13.5,67.8,"C-"
"111",92.5,100,100,100,100,99,100,100,97,100,12,18,20,20,64.8,88.2,81,98,99.5,19.3333333333333,83.45,"B"
"112",95,96,100,100,100,97,30,95,98,100,11,8,16,19,44,63.9,55,71,97.625,15.3333333333333,70.3375,"C"
"113",77.5,95,97.5,80,100,94,99,100,85,100,10,16,12,20,60.8,72.9,76,81,93.8125,16,75.99375,"C"
"114",88.5,97,100,90,100,99,97,100,85,100,8,16,19,13,57.6,72.9,72,81,96.4375,16,75.98125,"C"
"115",72.5,62.5,100,99,100,0,0,100,99,80,11,15,0,17,62.4,78.75,78,87.5,90.4285714285714,14.3333333333333,74.7535714285714,"C"
"116",87,100,92.5,80,100,89,50,80,98,100,10,0,12,17,66.4,82.8,83,92,90.8125,13,78.79375,"C+"
"117",75,100,100,90,100,95,97,95,85,100,11,12,13,19,62.4,60.3,78,67,95.25,14.6666666666667,73.125,"C"
"118",92.5,85,85,0,95,99,81,90,75,100,11,17,9,18,52.8,75.15,66,83.5,87.8125,15.3333333333333,72.71875,"C"
"119",84,100,87.5,70,100,97,100,90,100,100,10,11,19,16,42.4,55.35,53,61.5,94.8125,15.3333333333333,66.71875,"C-"
"120",77.5,95,95,95,90,89,99,90,85,100,12,14,18,20,71.2,87.3,89,97,92.25,17.3333333333333,82.325,"B"
"121",62.5,90,52.4,90,54,75,25,0,60,100,6,2,0,1,21.6,23.4,27,26,63.6125,3,41.43375,"F"
"122",80,85,85,90,72,95,92,100,60,100,9.5,13,11,18,65.6,65.7,82,73,87.375,14,72.9625,"C"
"123",0,62.5,10,55,66,0,0,60,30,20,9,0,3,8,32.8,29.25,41,32.5,47.25,6.66666666666667,33.5,"F"
"124",87.5,85,100,100,95,90,100,90,80,100,12,15,13,19,49.6,62.1,62,69,93.4375,15.6666666666667,70.03125,"C"
"125",77.5,95,75,100,100,90,97.5,95,100,100,12,16,19,17,56,73.8,70,82,94.375,17.3333333333333,75.4125,"C"
"126",92.5,100,100,100,100,93,88,100,80,100,8,5,15,18,64.8,69.75,81,77.5,96.6875,13.6666666666667,76.63125,"C"
"127",88.5,100,100,100,100,99,100,100,100,100,12,18,17,18,68,77.4,85,86,99.875,17.6666666666667,81.1125,"B-"
"128",50,100,97.5,75,76.25,94,77,93.5,75,100,11,18,18,20,70.4,76.5,88,85,86.03125,18.6666666666667,77.459375,"C"
"129",80,100,77.5,77.5,95,90,95,80,0,60,8,14,13.5,0,76,58.95,95,65.5,86.875,11.8333333333333,69.2125,"C-"
"130",77.5,90,100,100,90,95,97,100,100,100,9,14,16,18,64.8,59.85,81,66.5,96.5,16,74.175,"C"
"131",86,97.5,100,90,100,98,97,100,100,100,10,18,18,20,77.6,80.1,97,89,97.8125,18.6666666666667,83.79375,"B"
"132",100,100,97.5,100,100,100,100,100,100,100,12,18,20,20,80,85.5,100,95,100,19.3333333333333,86.65,"B+"
"133",95,85,100,100,100,93,100,90,100,100,12,18,18,20,72,84.6,90,94,97.25,18.6666666666667,83.475,"B"
"134",100,99,100,90,100,99,100,95,99,100,12,16,19,19,72,78.3,90,87,99,18,82.15,"B"
"135",60,100,92.5,100,100,94,100,80,100,100,9,9,9,13,62.4,75.6,78,84,95.8125,13,77.29375,"C"
"136",87.5,92.5,100,80,95,89,95,95,90,100,10,14,13,14,55.2,79.2,69,88,93,13.6666666666667,75.75,"C"
"137",99,83,92.5,98,100,0,0,0,0,0,4,3,0,0,29.6,12.6,37,14,94.5,3.5,39.775,"F"
"138",100,100,100,100,100,100,0,100,96,100,9,14,11,16,64.8,58.5,81,65,99.5,13.6666666666667,74.35,"C"
"139",82.5,100,93.5,100,100,95,80,90,100,100,8,16,14,17,63.2,63.45,79,70.5,95.125,15.6666666666667,74.3125,"C"
"140",52.5,100,82.5,90,100,94,100,75,85,100,11,9,8.5,17,66.8,74.25,83.5,82.5,90.8125,12.3333333333333,76.41875,"C"
"141",60,70,85,75,0,0,0,0,0,0,8,14,0,19,67.2,65.7,84,73,72.5,13.6666666666667,58.85,"D"
"142",90,0,70,90,0,44,0,40,55,80,11,14,11,13,43.2,49.5,54,55,64.8333333333333,13.5,54.025,"D"
"143",87.5,100,100,100,100,100,100,100,80,100,12,18,13,20,80,84.6,100,94,98.4375,17,85.58125,"B"
"144",92.5,100,100,70,100,100,92,100,80,100,11,17,17,17,60.8,50.85,76,56.5,95.5625,17,70.54375,"C"
"145",87.5,60,100,100,95,92,79,95,100,100,7,12,14,19,60,76.5,75,85,93.5625,15,76.56875,"C"
